industria,anio,valor
Actividades de atención de la salud humana y de servicios sociales,,150.40976305006234
Actividades de atención de la salud humana y de servicios sociales,,150.40976305006234
Actividades de atención de la salud humana y de servicios sociales,,160.86173080524728
Actividades de atención de la salud humana y de servicios sociales,,160.86173080524728
Actividades de correo y de servicios de mensajería,2005.0,105.4229934924078
Actividades de correo y de servicios de mensajería,2006.0,101.82815356489945
Actividades de correo y de servicios de mensajería,2007.0,97.98136645962732
Actividades de correo y de servicios de mensajería,2008.0,95.83931133428982
Actividades de correo y de servicios de mensajería,2009.0,96.96092619392185
Actividades de correo y de servicios de mensajería,2010.0,94.46693657219973
Actividades de correo y de servicios de mensajería,2011.0,92.49363867684478
Actividades de correo y de servicios de mensajería,2012.0,92.09245742092457
Actividades de correo y de servicios de mensajería,2013.0,93.75
Actividades de correo y de servicios de mensajería,2014.0,92.41758241758242
Actividades de correo y de servicios de mensajería,2015.0,100.0
Actividades de correo y de servicios de mensajería,2016.0,107.9219288174512
Actividades de correo y de servicios de mensajería,2017.0,113.61014994232987
Actividades de correo y de servicios de mensajería,2018.0,119.24778761061947
Actividades de correo y de servicios de mensajería,2019.0,125.10373443983403
Actividades de correo y de servicios de mensajería,2020.0,127.37373737373738
Actividades de correo y de servicios de mensajería,2021.0,130.38427167113494
Actividades de correo y de servicios de mensajería,2022.0,139.96627318718382
Actividades de correo y de servicios de mensajería,,157.94732061762033
Actividades de correo y de servicios de mensajería,,170.14464785549123
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2005.0,61.927877947295414
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2006.0,67.33333333333333
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2007.0,71.39303482587064
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2008.0,75.36764705882352
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2009.0,80.9206541490006
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2010.0,87.07224334600761
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2011.0,91.82544560540873
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2012.0,95.8756724447101
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2013.0,101.22473974280466
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2014.0,103.18153462258266
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2015.0,100.0
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2016.0,92.21288515406162
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2017.0,83.44947735191639
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2018.0,84.75967174677609
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2019.0,87.93517406962785
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2020.0,91.3100724160632
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2021.0,92.39065308568006
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",2022.0,103.24499729583559
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",,107.00496414782128
"Actividades de impresión; producción de copias a partir de grabaciones originales (Copia a partir de un original en CD, DVD, Bluray)",,107.24718578472417
Actividades de los hogares individuales en calidad de empleadores,2005.0,64.50875856816451
Actividades de los hogares individuales en calidad de empleadores,2006.0,67.38698460009935
Actividades de los hogares individuales en calidad de empleadores,2007.0,70.75471698113208
Actividades de los hogares individuales en calidad de empleadores,2008.0,75.38311846266116
Actividades de los hogares individuales en calidad de empleadores,2009.0,78.31784608053371
Actividades de los hogares individuales en calidad de empleadores,2010.0,83.23199251637044
Actividades de los hogares individuales en calidad de empleadores,2011.0,86.6832466651594
Actividades de los hogares individuales en calidad de empleadores,2012.0,90.6050605060506
Actividades de los hogares individuales en calidad de empleadores,2013.0,93.93744644387317
Actividades de los hogares individuales en calidad de empleadores,2014.0,96.98596201486374
Actividades de los hogares individuales en calidad de empleadores,2015.0,100.0
Actividades de los hogares individuales en calidad de empleadores,2016.0,104.79676362935851
Actividades de los hogares individuales en calidad de empleadores,2017.0,109.08405578590275
Actividades de los hogares individuales en calidad de empleadores,2018.0,112.55276197467425
Actividades de los hogares individuales en calidad de empleadores,2019.0,116.88659058487873
Actividades de los hogares individuales en calidad de empleadores,2020.0,120.17861453053342
Actividades de los hogares individuales en calidad de empleadores,2021.0,124.39453985028621
Actividades de los hogares individuales en calidad de empleadores,2022.0,131.0016420361248
Actividades de los hogares individuales en calidad de empleadores,,143.2189804424495
Actividades de los hogares individuales en calidad de empleadores,,155.39727800237665
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2005.0,64.50875856816451
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2006.0,67.38698460009935
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2007.0,70.75471698113208
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2008.0,75.38311846266116
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2009.0,78.31784608053371
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2010.0,83.23199251637044
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2011.0,86.6832466651594
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2012.0,90.6050605060506
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2013.0,93.93744644387317
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2014.0,96.98596201486374
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2015.0,100.0
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2016.0,104.79676362935851
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2017.0,109.08405578590275
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2018.0,112.55276197467425
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2019.0,116.88659058487873
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2020.0,120.17861453053342
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2021.0,124.39453985028621
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,2022.0,131.0016420361248
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,,143.2189804424495
Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio,,155.39727800237665
